#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
51	6.254861e-01	3.442202e-02	4.352387e-02	5.200000e-01	-3.090965e+03	-2.788302e+03	-3.026635e+02
52	6.358191e-01	3.470518e-02	4.352387e-02	5.200000e-01	-3.092304e+03	-2.789581e+03	-3.027233e+02
53	6.335437e-01	3.470518e-02	4.360195e-02	5.100000e-01	-3.092173e+03	-2.789594e+03	-3.025788e+02
54	6.402315e-01	3.488787e-02	4.360195e-02	5.000000e-01	-3.092950e+03	-2.790333e+03	-3.026169e+02
55	6.460410e-01	3.488787e-02	4.340546e-02	5.100000e-01	-3.093281e+03	-2.790300e+03	-3.029811e+02
56	6.518186e-01	3.488787e-02	4.321267e-02	5.000000e-01	-3.093607e+03	-2.790267e+03	-3.033394e+02
57	6.794036e-01	3.561845e-02	4.321267e-02	5.100000e-01	-3.096071e+03	-2.792579e+03	-3.034913e+02
58	6.722541e-01	3.561845e-02	4.344185e-02	5.100000e-01	-3.095682e+03	-2.792618e+03	-3.030642e+02
59	6.811706e-01	3.585388e-02	4.344185e-02	5.000000e-01	-3.096267e+03	-2.793155e+03	-3.031118e+02
60	6.833441e-01	3.585388e-02	4.337270e-02	5.000000e-01	-3.096384e+03	-2.793143e+03	-3.032407e+02
61	6.945089e-01	3.585388e-02	4.302267e-02	5.000000e-01	-3.096979e+03	-2.793084e+03	-3.038949e+02
62	6.957490e-01	3.585388e-02	4.298430e-02	5.100000e-01	-3.097044e+03	-2.793078e+03	-3.039668e+02
63	7.033739e-01	3.604981e-02	4.298430e-02	5.100000e-01	-3.097458e+03	-2.793451e+03	-3.040068e+02
64	7.139175e-01	3.604981e-02	4.266571e-02	5.100000e-01	-3.098003e+03	-2.793397e+03	-3.046061e+02
65	6.992694e-01	3.567806e-02	4.266571e-02	5.000000e-01	-3.097160e+03	-2.792631e+03	-3.045291e+02
66	7.111528e-01	3.597994e-02	4.266571e-02	5.100000e-01	-3.097862e+03	-2.793271e+03	-3.045917e+02
67	7.132967e-01	3.597994e-02	4.260155e-02	5.200000e-01	-3.097972e+03	-2.793260e+03	-3.047127e+02
68	7.317649e-01	3.644275e-02	4.260155e-02	5.300000e-01	-3.098750e+03	-2.793942e+03	-3.048075e+02
69	7.367190e-01	3.644275e-02	4.245807e-02	5.300000e-01	-3.098996e+03	-2.793917e+03	-3.050790e+02
70	7.507487e-01	3.644275e-02	4.205948e-02	5.400000e-01	-3.099683e+03	-2.793846e+03	-3.058363e+02
71	7.970131e-01	3.754885e-02	4.205948e-02	5.400000e-01	-3.100192e+03	-2.794131e+03	-3.060606e+02
72	7.792734e-01	3.712862e-02	4.205948e-02	5.500000e-01	-3.100212e+03	-2.794236e+03	-3.059765e+02
73	7.809079e-01	3.716754e-02	4.205948e-02	5.400000e-01	-3.100221e+03	-2.794237e+03	-3.059844e+02
74	7.799833e-01	3.714553e-02	4.205948e-02	5.400000e-01	-3.100216e+03	-2.794236e+03	-3.059800e+02
75	7.927921e-01	3.744929e-02	4.205948e-02	5.400000e-01	-3.100219e+03	-2.794179e+03	-3.060408e+02
76	8.099101e-01	3.785143e-02	4.205948e-02	5.500000e-01	-3.100026e+03	-2.793905e+03	-3.061204e+02
77	8.365998e-01	3.785143e-02	4.138314e-02	5.500000e-01	-3.101206e+03	-2.793783e+03	-3.074231e+02
78	8.344424e-01	3.785143e-02	4.143660e-02	5.400000e-01	-3.101113e+03	-2.793793e+03	-3.073196e+02
79	8.488883e-01	3.817767e-02	4.143660e-02	5.300000e-01	-3.100799e+03	-2.793414e+03	-3.073847e+02
80	8.795976e-01	3.817767e-02	4.070684e-02	5.300000e-01	-3.102084e+03	-2.793278e+03	-3.088061e+02
81	8.702204e-01	3.817767e-02	4.092557e-02	5.400000e-01	-3.101698e+03	-2.793319e+03	-3.083784e+02
82	8.621946e-01	3.800121e-02	4.092557e-02	5.500000e-01	-3.101884e+03	-2.793541e+03	-3.083426e+02
83	8.636334e-01	3.803290e-02	4.092557e-02	5.600000e-01	-3.101853e+03	-2.793504e+03	-3.083490e+02
84	8.820043e-01	3.803290e-02	4.049712e-02	5.600000e-01	-3.102610e+03	-2.793422e+03	-3.091876e+02
85	8.660311e-01	3.768694e-02	4.049712e-02	5.700000e-01	-3.102869e+03	-2.793753e+03	-3.091156e+02
86	8.794471e-01	3.768694e-02	4.018704e-02	5.600000e-01	-3.103417e+03	-2.793692e+03	-3.097250e+02
87	9.096669e-01	3.768694e-02	3.951388e-02	5.700000e-01	-3.104613e+03	-2.793556e+03	-3.110579e+02
88	9.244032e-01	3.768694e-02	3.919766e-02	5.800000e-01	-3.105178e+03	-2.793489e+03	-3.116886e+02
89	9.328868e-01	3.768694e-02	3.901902e-02	5.700000e-01	-3.105498e+03	-2.793451e+03	-3.120463e+02
90	9.305309e-01	3.768694e-02	3.906838e-02	5.700000e-01	-3.105409e+03	-2.793462e+03	-3.119473e+02
91	9.336839e-01	3.775073e-02	3.906838e-02	5.800000e-01	-3.105374e+03	-2.793413e+03	-3.119614e+02
