#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	8.981850e-03	9.056879e-03	1.402074e-02	6.626722e-03	1.206651e-02
1.000000e+03	-9.018217e-03	-9.064837e-03	9.178660e-03	-1.103156e-02	-7.470289e-03
8.709636e+02	-8.703126e-03	-8.749343e-03	9.094962e-03	-1.069805e-02	-7.169415e-03
7.585776e+02	-7.924621e-03	-7.967888e-03	8.499195e-03	-9.788953e-03	-6.491613e-03
6.606934e+02	-6.644991e-03	-6.682578e-03	7.346083e-03	-8.256756e-03	-5.406911e-03
5.754399e+02	-4.861415e-03	-4.890598e-03	5.628484e-03	-6.097195e-03	-3.913791e-03
5.011872e+02	-2.619222e-03	-2.637536e-03	3.391791e-03	-3.365637e-03	-2.049985e-03
4.365158e+02	-2.308909e-05	-2.861525e-05	7.459753e-04	-1.908448e-04	9.839069e-05
3.801894e+02	2.757111e-03	2.765443e-03	2.128946e-03	2.392049e-03	3.217919e-03
3.311311e+02	5.489475e-03	5.511626e-03	4.985364e-03	4.641106e-03	6.574928e-03
2.884032e+02	7.895364e-03	7.930005e-03	7.526166e-03	6.617583e-03	9.536913e-03
2.511886e+02	9.678134e-03	9.722587e-03	9.434080e-03	8.078957e-03	1.173836e-02
2.187762e+02	1.056360e-02	1.061393e-02	1.041377e-02	8.801412e-03	1.284095e-02
1.905461e+02	1.034702e-02	1.039825e-02	1.023976e-02	8.618476e-03	1.259078e-02
1.659587e+02	8.938300e-03	8.984788e-03	8.802532e-03	7.458244e-03	1.087343e-02
1.445440e+02	6.396422e-03	6.432301e-03	6.145000e-03	5.371445e-03	7.756131e-03
1.258925e+02	2.944979e-03	2.964785e-03	2.483088e-03	2.543674e-03	3.507909e-03
1.096478e+02	-1.035801e-03	-1.036345e-03	1.797103e-03	-1.407834e-03	-7.122631e-04
9.549926e+01	-5.042419e-03	-5.065456e-03	6.151792e-03	-6.370982e-03	-3.985169e-03
8.317638e+01	-8.506623e-03	-8.551165e-03	9.946340e-03	-1.067362e-02	-6.814650e-03
7.244360e+01	-1.087693e-02	-1.093813e-02	1.252712e-02	-1.361951e-02	-8.758118e-03
6.309573e+01	-1.171689e-02	-1.178601e-02	1.334133e-02	-1.464797e-02	-9.469803e-03
5.495409e+01	-1.080594e-02	-1.087133e-02	1.206889e-02	-1.346476e-02	-8.780111e-03
4.786301e+01	-8.218877e-03	-8.268129e-03	8.739537e-03	-1.014877e-02	-6.756683e-03
4.168694e+01	-4.355145e-03	-4.377981e-03	3.790981e-03	-5.195254e-03	-3.724889e-03
3.630781e+01	1.057013e-04	1.145605e-04	1.969783e-03	-2.302280e-04	5.366676e-04
3.162278e+01	4.326427e-03	4.365434e-03	7.512508e-03	3.060095e-03	5.979395e-03
2.754229e+01	7.489675e-03	7.550423e-03	1.181022e-02	5.498151e-03	1.008571e-02
2.398833e+01	8.983921e-03	9.053092e-03	1.407979e-02	6.602345e-03	1.206967e-02
2.089296e+01	8.543152e-03	8.605891e-03	1.396193e-02	6.167976e-03	1.158714e-02
1.819701e+01	6.299565e-03	6.343195e-03	1.158277e-02	4.309600e-03	8.802066e-03
1.584893e+01	2.739621e-03	2.756530e-03	7.486007e-03	1.427429e-03	4.326336e-03
1.380384e+01	-1.412750e-03	-1.423823e-03	2.474235e-03	-1.884113e-03	-9.345061e-04
1.202264e+01	-5.342581e-03	-5.376974e-03	2.609053e-03	-5.971501e-03	-4.952420e-03
1.047129e+01	-8.279102e-03	-8.327911e-03	6.960606e-03	-9.844237e-03	-7.135623e-03
9.120108e+00	-9.597271e-03	-9.649609e-03	1.003386e-02	-1.180552e-02	-7.906511e-03
7.943282e+00	-8.882492e-03	-8.927723e-03	1.150978e-02	-1.137620e-02	-6.908280e-03
6.918310e+00	-5.963972e-03	-5.993572e-03	1.133069e-02	-8.379212e-03	-3.985516e-03
6.025596e+00	-9.198963e-04	-9.287442e-04	9.675371e-03	-2.938556e-03	8.078421e-04
5.248075e+00	5.946201e-03	5.959223e-03	6.908087e-03	4.556728e-03	7.224516e-03
4.570882e+00	1.415569e-02	1.418784e-02	3.507063e-03	1.352014e-02	1.486244e-02
3.981072e+00	2.312159e-02	2.316711e-02	3.521787e-04	2.312159e-02	2.325335e-02
3.467369e+00	3.221685e-02	3.226816e-02	3.305679e-03	3.174297e-02	3.303020e-02
3.019952e+00	4.083288e-02	4.088189e-02	5.840215e-03	3.989369e-02	4.216493e-02
2.630268e+00	4.842632e-02	4.846553e-02	7.439176e-03	4.717437e-02	5.006317e-02
2.290868e+00	5.455853e-02	5.458187e-02	7.969005e-03	5.317319e-02	5.626331e-02
1.995262e+00	5.893067e-02	5.893413e-02	7.435151e-03	5.759511e-02	6.047307e-02
1.737801e+00	6.141012e-02	6.139227e-02	5.985947e-03	6.028701e-02	6.259704e-02
1.513561e+00	6.203897e-02	6.200138e-02	3.904639e-03	6.124746e-02	6.274277e-02
1.318257e+00	6.101644e-02	6.096375e-02	1.591005e-03	6.061503e-02	6.119439e-02
1.148154e+00	5.865425e-02	5.859382e-02	8.121591e-04	5.835687e-02	5.867526e-02
1.000000e+00	5.531292e-02	5.525377e-02	2.422045e-03	5.466678e-02	5.560448e-02
8.709636e-01	5.133436e-02	5.128564e-02	3.380265e-03	5.051421e-02	5.182712e-02
7.585776e-01	4.699007e-02	4.695927e-02	3.567628e-03	4.617647e-02	4.756057e-02
6.606934e-01	4.246038e-02	4.245171e-02	3.109074e-03	4.179871e-02	4.300078e-02
5.754399e-01	3.784868e-02	3.786227e-02	2.262111e-03	3.742088e-02	3.828762e-02
5.011872e-01	3.321918e-02	3.325120e-02	1.332147e-03	3.303572e-02	3.352954e-02
4.365158e-01	2.863699e-02	2.868071e-02	6.098432e-04	2.860866e-02	2.883058e-02
3.801894e-01	2.419191e-02	2.423927e-02	3.604901e-04	2.419133e-02	2.431355e-02
3.311311e-01	1.999991e-02	2.004311e-02	3.452873e-04	2.000020e-02	2.013667e-02
2.884032e-01	1.618974e-02	1.622253e-02	2.513188e-04	1.618911e-02	1.628159e-02
2.511886e-01	1.288777e-02	1.290631e-02	4.557131e-04	1.284362e-02	1.301127e-02
2.187762e-01	1.020871e-02	1.021211e-02	8.426420e-04	1.004015e-02	1.037065e-02
1.905461e-01	8.247994e-03	8.238506e-03	1.092486e-03	7.994380e-03	8.424529e-03
1.659587e-01	7.064389e-03	7.047050e-03	1.004314e-03	6.810126e-03	7.205260e-03
1.445440e-01	6.646250e-03	6.627849e-03	4.727876e-04	6.502583e-03	6.685781e-03
1.258925e-01	6.872020e-03	6.859221e-03	5.144825e-04	6.751488e-03	6.941534e-03
1.096478e-01	7.491798e-03	7.488859e-03	1.641709e-03	7.188142e-03	7.823465e-03
9.549926e-02	8.158465e-03	8.165376e-03	2.581317e-03	7.707447e-03	8.711288e-03
8.317638e-02	8.516492e-03	8.528516e-03	2.917434e-03	8.016415e-03	9.152840e-03
7.244360e-02	8.322669e-03	8.331854e-03	2.391644e-03	7.910771e-03	8.843285e-03
6.309573e-02	7.545759e-03	7.544085e-03	1.044978e-03	7.351834e-03	7.759531e-03
5.495409e-02	6.391350e-03	6.374336e-03	7.575731e-04	6.193805e-03	6.485856e-03
4.786301e-02	5.228968e-03	5.198159e-03	2.399496e-03	4.655161e-03	5.588322e-03
4.168694e-02	4.445258e-03	4.408377e-03	3.289091e-03	3.671034e-03	4.951465e-03
3.630781e-02	4.283648e-03	4.252195e-03	3.057237e-03	3.570625e-03	4.761265e-03
3.162278e-02	4.738363e-03	4.723513e-03	1.730037e-03	4.342000e-03	5.015863e-03
2.754229e-02	5.547116e-03	5.555505e-03	2.692356e-04	5.519352e-03	5.622928e-03
2.398833e-02	6.285571e-03	6.316612e-03	2.250246e-03	5.953319e-03	6.829647e-03
2.089296e-02	6.525903e-03	6.571670e-03	3.530290e-03	5.997403e-03	7.372516e-03
1.819701e-02	5.997172e-03	6.044890e-03	3.652929e-03	5.451243e-03	6.874158e-03
1.584893e-02	4.685940e-03	4.722140e-03	2.557058e-03	4.310810e-03	5.306671e-03
1.380384e-02	2.841418e-03	2.856220e-03	5.879758e-04	2.771815e-03	2.999448e-03
1.202264e-02	8.886949e-04	8.787443e-04	1.644863e-03	5.223984e-04	1.162954e-03
1.047129e-02	-7.121075e-04	-7.429131e-04	3.445174e-03	-1.504281e-03	-1.620260e-04
9.120108e-03	-1.608283e-03	-1.650328e-03	4.284824e-03	-2.602769e-03	-9.333276e-04
7.943282e-03	-1.653635e-03	-1.694697e-03	3.929959e-03	-2.571899e-03	-1.040741e-03
6.918310e-03	-9.402167e-04	-9.690970e-04	2.497543e-03	-1.530590e-03	-5.575894e-04
6.025596e-03	2.383844e-04	2.287643e-04	4.044800e-04	1.310631e-04	2.878366e-04
5.248075e-03	1.475811e-03	1.486671e-03	1.772408e-03	1.180770e-03	1.870906e-03
4.570882e-03	2.367061e-03	2.393759e-03	3.441019e-03	1.807884e-03	3.148036e-03
3.981072e-03	2.617326e-03	2.651003e-03	4.180108e-03	1.941117e-03	3.568978e-03
3.467369e-03	2.117108e-03	2.147452e-03	3.834354e-03	1.495568e-03	2.988428e-03
3.019952e-03	9.642674e-04	9.825691e-04	2.549280e-03	5.465947e-04	1.538515e-03
2.630268e-03	-5.713582e-04	-5.697324e-04	7.179225e-04	-6.972616e-04	-4.192048e-04
2.290868e-03	-2.128432e-03	-2.142841e-03	1.142990e-03	-2.402288e-03	-1.956095e-03
1.995262e-03	-3.354767e-03	-3.379639e-03	2.530994e-03	-3.942777e-03	-2.956107e-03
1.737801e-03	-3.998835e-03	-4.025389e-03	3.105035e-03	-4.709848e-03	-3.500231e-03
1.513561e-03	-3.967449e-03	-3.986216e-03	2.758463e-03	-4.586499e-03	-3.512951e-03
1.318257e-03	-3.336505e-03	-3.339916e-03	1.633574e-03	-3.682740e-03	-3.049163e-03
1.148154e-03	-2.316005e-03	-2.300315e-03	1.380157e-04	-2.318008e-03	-2.267914e-03
1.000000e-03	-1.182601e-03	-1.148674e-03	1.554745e-03	-1.381087e-03	-7.749340e-04
