#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
51	6.045988e-01	3.700792e-02	4.759497e-02	4.500000e-01	-2.758839e+03	-2.460934e+03	-2.979054e+02
52	6.036289e-01	3.697823e-02	4.759497e-02	4.600000e-01	-2.758295e+03	-2.460391e+03	-2.979038e+02
53	6.086355e-01	3.713126e-02	4.759497e-02	4.600000e-01	-2.761073e+03	-2.463161e+03	-2.979121e+02
54	6.153879e-01	3.713126e-02	4.733313e-02	4.500000e-01	-2.761523e+03	-2.463150e+03	-2.983734e+02
55	6.193363e-01	3.713126e-02	4.718201e-02	4.400000e-01	-2.761784e+03	-2.463144e+03	-2.986404e+02
56	6.397965e-01	3.773961e-02	4.718201e-02	4.500000e-01	-2.772170e+03	-2.473498e+03	-2.986725e+02
57	6.298477e-01	3.773961e-02	4.755318e-02	4.400000e-01	-2.771531e+03	-2.473513e+03	-2.980177e+02
58	6.302637e-01	3.775206e-02	4.755318e-02	4.400000e-01	-2.771733e+03	-2.473714e+03	-2.980183e+02
59	6.291943e-01	3.775206e-02	4.759358e-02	4.300000e-01	-2.771663e+03	-2.473716e+03	-2.979472e+02
60	6.424337e-01	3.814719e-02	4.759358e-02	4.300000e-01	-2.777857e+03	-2.479890e+03	-2.979673e+02
61	6.577145e-01	3.859820e-02	4.759358e-02	4.300000e-01	-2.784439e+03	-2.486449e+03	-2.979895e+02
62	6.609588e-01	3.869328e-02	4.759358e-02	4.400000e-01	-2.785762e+03	-2.487768e+03	-2.979941e+02
63	6.543522e-01	3.869328e-02	4.783323e-02	4.300000e-01	-2.785351e+03	-2.487778e+03	-2.975730e+02
64	6.498149e-01	3.869328e-02	4.799994e-02	4.400000e-01	-2.785065e+03	-2.487784e+03	-2.972808e+02
65	6.586103e-01	3.869328e-02	4.767836e-02	4.400000e-01	-2.785617e+03	-2.487771e+03	-2.978450e+02
