#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	3.482022e-01	3.000000e-02	5.084000e-02	5.000000e-01	-2.445975e+03	-2.149700e+03	-2.962749e+02
1	3.497020e-01	3.000000e-02	5.073086e-02	5.000000e-01	-2.446172e+03	-2.149691e+03	-2.964812e+02
2	3.581006e-01	3.035811e-02	5.073086e-02	4.900000e-01	-2.466200e+03	-2.169669e+03	-2.965313e+02
3	3.744154e-01	3.104196e-02	5.073086e-02	4.800000e-01	-2.501793e+03	-2.205170e+03	-2.966224e+02
4	3.846953e-01	3.146521e-02	5.073086e-02	4.800000e-01	-2.522193e+03	-2.225517e+03	-2.966761e+02
5	3.993068e-01	3.205720e-02	5.073086e-02	4.800000e-01	-2.548795e+03	-2.252047e+03	-2.967479e+02
6	3.956302e-01	3.205720e-02	5.096604e-02	4.700000e-01	-2.548368e+03	-2.252064e+03	-2.963035e+02
7	3.968677e-01	3.205720e-02	5.088652e-02	4.800000e-01	-2.548512e+03	-2.252058e+03	-2.964535e+02
8	4.018797e-01	3.225899e-02	5.088652e-02	4.700000e-01	-2.557092e+03	-2.260615e+03	-2.964772e+02
9	4.115304e-01	3.225899e-02	5.028632e-02	4.800000e-01	-2.558187e+03	-2.260570e+03	-2.976170e+02
10	4.088898e-01	3.225899e-02	5.044842e-02	4.800000e-01	-2.557890e+03	-2.260582e+03	-2.973079e+02
11	4.168400e-01	3.225899e-02	4.996502e-02	4.800000e-01	-2.558778e+03	-2.260546e+03	-2.982322e+02
12	4.270164e-01	3.265039e-02	4.996502e-02	4.700000e-01	-2.574753e+03	-2.276475e+03	-2.982772e+02
13	4.512359e-01	3.356355e-02	4.996502e-02	4.600000e-01	-2.608807e+03	-2.310430e+03	-2.983768e+02
14	4.515104e-01	3.357376e-02	4.996502e-02	4.700000e-01	-2.609163e+03	-2.310785e+03	-2.983779e+02
15	4.524293e-01	3.357376e-02	4.991425e-02	4.700000e-01	-2.609257e+03	-2.310782e+03	-2.984755e+02
16	4.537085e-01	3.362119e-02	4.991425e-02	4.800000e-01	-2.610908e+03	-2.312427e+03	-2.984805e+02
17	4.467187e-01	3.362119e-02	5.030324e-02	4.900000e-01	-2.610190e+03	-2.312455e+03	-2.977350e+02
18	4.471299e-01	3.362119e-02	5.028011e-02	4.800000e-01	-2.610232e+03	-2.312453e+03	-2.977792e+02
19	4.487039e-01	3.362119e-02	5.019184e-02	4.800000e-01	-2.610395e+03	-2.312447e+03	-2.979480e+02
20	4.415371e-01	3.362119e-02	5.059754e-02	4.700000e-01	-2.609649e+03	-2.312475e+03	-2.971745e+02
21	4.656619e-01	3.452747e-02	5.059754e-02	4.700000e-01	-2.639161e+03	-2.341895e+03	-2.972657e+02
22	4.700367e-01	3.452747e-02	5.036153e-02	4.700000e-01	-2.639594e+03	-2.341879e+03	-2.977151e+02
23	4.802444e-01	3.490037e-02	5.036153e-02	4.800000e-01	-2.650681e+03	-2.352930e+03	-2.977509e+02
24	4.977760e-01	3.490037e-02	4.946671e-02	4.700000e-01	-2.652344e+03	-2.352871e+03	-2.994728e+02
25	4.856176e-01	3.490037e-02	5.008213e-02	4.700000e-01	-2.651198e+03	-2.352912e+03	-2.982856e+02
26	4.888847e-01	3.501757e-02	5.008213e-02	4.800000e-01	-2.654563e+03	-2.356266e+03	-2.982966e+02
27	5.196643e-01	3.610308e-02	5.008213e-02	4.700000e-01	-2.683177e+03	-2.384782e+03	-2.983948e+02
28	5.095813e-01	3.610308e-02	5.057519e-02	4.800000e-01	-2.682265e+03	-2.384813e+03	-2.974527e+02
29	5.109243e-01	3.610308e-02	5.050868e-02	4.900000e-01	-2.682388e+03	-2.384809e+03	-2.975793e+02
30	5.076042e-01	3.610308e-02	5.067359e-02	4.900000e-01	-2.682084e+03	-2.384819e+03	-2.972657e+02
31	4.950000e-01	3.610308e-02	5.131469e-02	4.800000e-01	-2.680913e+03	-2.384858e+03	-2.960554e+02
32	5.088073e-01	3.660314e-02	5.131469e-02	4.900000e-01	-2.692648e+03	-2.396551e+03	-2.960976e+02
33	5.210487e-01	3.660314e-02	5.070832e-02	4.900000e-01	-2.693757e+03	-2.396515e+03	-2.972423e+02
34	5.227253e-01	3.660314e-02	5.062693e-02	4.900000e-01	-2.693907e+03	-2.396510e+03	-2.973969e+02
35	5.230735e-01	3.661533e-02	5.062693e-02	4.800000e-01	-2.694182e+03	-2.396784e+03	-2.973979e+02
36	5.229310e-01	3.661533e-02	5.063383e-02	4.800000e-01	-2.694169e+03	-2.396784e+03	-2.973848e+02
37	5.282862e-01	3.661533e-02	5.037654e-02	4.700000e-01	-2.694644e+03	-2.396769e+03	-2.978749e+02
38	5.345893e-01	3.683311e-02	5.037654e-02	4.800000e-01	-2.699482e+03	-2.401589e+03	-2.978930e+02
39	5.285571e-01	3.683311e-02	5.066318e-02	4.700000e-01	-2.698953e+03	-2.401606e+03	-2.973471e+02
40	5.368502e-01	3.712094e-02	5.066318e-02	4.600000e-01	-2.705112e+03	-2.407741e+03	-2.973705e+02
41	5.563858e-01	3.779031e-02	5.066318e-02	4.500000e-01	-2.718442e+03	-2.421019e+03	-2.974233e+02
42	5.809686e-01	3.861613e-02	5.066318e-02	4.500000e-01	-2.733108e+03	-2.435622e+03	-2.974852e+02
43	5.698592e-01	3.861613e-02	5.115464e-02	4.500000e-01	-2.732205e+03	-2.435650e+03	-2.965551e+02
44	5.648673e-01	3.861613e-02	5.138017e-02	4.600000e-01	-2.731793e+03	-2.435662e+03	-2.961309e+02
45	5.696579e-01	3.861613e-02	5.116367e-02	4.500000e-01	-2.732188e+03	-2.435650e+03	-2.965380e+02
46	5.703603e-01	3.861613e-02	5.113216e-02	4.500000e-01	-2.732246e+03	-2.435648e+03	-2.965974e+02
47	5.689879e-01	3.861613e-02	5.119379e-02	4.600000e-01	-2.732133e+03	-2.435652e+03	-2.964813e+02
48	5.808327e-01	3.901600e-02	5.119379e-02	4.700000e-01	-2.738578e+03	-2.442068e+03	-2.965100e+02
49	5.965363e-01	3.953991e-02	5.119379e-02	4.700000e-01	-2.746416e+03	-2.449870e+03	-2.965464e+02
50	6.140235e-01	4.011527e-02	5.119379e-02	4.800000e-01	-2.754278e+03	-2.457693e+03	-2.965851e+02
51	6.271128e-01	4.054059e-02	5.119379e-02	4.800000e-01	-2.759616e+03	-2.463003e+03	-2.966128e+02
52	6.263283e-01	4.054059e-02	5.122584e-02	4.900000e-01	-2.759558e+03	-2.463005e+03	-2.965525e+02
53	6.344922e-01	4.054059e-02	5.089522e-02	4.900000e-01	-2.760165e+03	-2.462988e+03	-2.971769e+02
54	6.321972e-01	4.054059e-02	5.098751e-02	4.800000e-01	-2.759995e+03	-2.462993e+03	-2.970022e+02
55	6.408325e-01	4.054059e-02	5.064281e-02	4.700000e-01	-2.760631e+03	-2.462975e+03	-2.976562e+02
56	6.231602e-01	4.054059e-02	5.135589e-02	4.600000e-01	-2.759320e+03	-2.463012e+03	-2.963078e+02
57	6.310338e-01	4.054059e-02	5.103449e-02	4.700000e-01	-2.759909e+03	-2.462995e+03	-2.969134e+02
58	6.430896e-01	4.092602e-02	5.103449e-02	4.600000e-01	-2.764416e+03	-2.467478e+03	-2.969380e+02
59	6.562300e-01	4.092602e-02	5.052095e-02	4.600000e-01	-2.765365e+03	-2.467452e+03	-2.979130e+02
60	6.614467e-01	4.092602e-02	5.032133e-02	4.500000e-01	-2.765736e+03	-2.467442e+03	-2.982945e+02
61	6.603503e-01	4.092602e-02	5.036309e-02	4.600000e-01	-2.765658e+03	-2.467444e+03	-2.982146e+02
62	6.490431e-01	4.092602e-02	5.079989e-02	4.600000e-01	-2.764848e+03	-2.467466e+03	-2.973823e+02
63	6.470656e-01	4.086363e-02	5.079989e-02	4.700000e-01	-2.764139e+03	-2.466761e+03	-2.973783e+02
64	6.401031e-01	4.086363e-02	5.107542e-02	4.600000e-01	-2.763632e+03	-2.466775e+03	-2.968567e+02
65	6.499019e-01	4.117522e-02	5.107542e-02	4.500000e-01	-2.767094e+03	-2.470218e+03	-2.968762e+02
