#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	5.626208e-03	7.138504e-03	1.317428e-02	4.580260e-03	9.750800e-03
1.000000e+03	-7.488263e-03	-8.805669e-03	1.150425e-02	-1.107155e-02	-6.542787e-03
8.709636e+02	-6.734786e-03	-7.956200e-03	1.066135e-02	-1.005575e-02	-5.859854e-03
7.585776e+02	-5.581118e-03	-6.632775e-03	9.174265e-03	-8.439157e-03	-4.829726e-03
6.606934e+02	-4.037354e-03	-4.845444e-03	7.042921e-03	-6.232008e-03	-3.462698e-03
5.754399e+02	-2.158407e-03	-2.656692e-03	4.333863e-03	-3.510172e-03	-1.808455e-03
5.011872e+02	-5.364659e-05	-1.928276e-04	1.195634e-03	-4.294840e-04	3.557113e-05
4.365158e+02	2.109273e-03	2.351426e-03	2.135764e-03	1.921002e-03	2.768396e-03
3.801894e+02	4.110479e-03	4.719893e-03	5.341564e-03	3.654024e-03	5.764609e-03
3.311311e+02	5.697428e-03	6.617676e-03	8.052214e-03	5.012782e-03	8.191425e-03
2.884032e+02	6.619430e-03	7.751352e-03	9.894404e-03	5.777937e-03	9.682353e-03
2.511886e+02	6.674584e-03	7.883623e-03	1.055929e-02	5.774134e-03	9.940160e-03
2.187762e+02	5.761248e-03	6.893151e-03	9.875555e-03	4.915425e-03	8.811093e-03
1.905461e+02	3.921155e-03	4.824484e-03	7.868895e-03	3.243263e-03	6.346385e-03
1.659587e+02	1.359217e-03	1.910687e-03	4.786601e-03	9.439028e-04	2.829397e-03
1.445440e+02	-1.571575e-03	-1.444708e-03	1.072575e-03	-1.665126e-03	-1.248004e-03
1.258925e+02	-4.422645e-03	-4.729022e-03	2.717513e-03	-5.262468e-03	-4.181699e-03
1.096478e+02	-6.729955e-03	-7.413266e-03	6.008884e-03	-8.574289e-03	-6.190453e-03
9.549926e+01	-8.102080e-03	-9.053298e-03	8.344414e-03	-1.065117e-02	-7.341483e-03
8.317638e+01	-8.293806e-03	-9.373167e-03	9.456015e-03	-1.116810e-02	-7.416511e-03
7.244360e+01	-7.248300e-03	-8.311296e-03	9.303128e-03	-1.005979e-02	-6.367393e-03
6.309573e+01	-5.101087e-03	-6.022261e-03	8.053035e-03	-7.517858e-03	-4.320653e-03
5.495409e+01	-2.148820e-03	-2.838378e-03	6.017807e-03	-3.939164e-03	-1.550395e-03
4.786301e+01	1.207407e-03	7.969524e-04	3.567178e-03	1.587326e-04	1.572042e-03
4.168694e+01	4.530550e-03	4.407849e-03	1.041456e-03	4.234057e-03	4.639759e-03
3.630781e+01	7.412442e-03	7.558378e-03	1.324795e-03	7.269641e-03	7.806382e-03
3.162278e+01	9.520914e-03	9.902551e-03	3.397089e-03	9.146838e-03	1.051121e-02
2.754229e+01	1.062111e-02	1.120295e-02	5.156924e-03	1.004696e-02	1.211315e-02
2.398833e+01	1.057316e-02	1.132137e-02	6.614032e-03	9.837421e-03	1.248339e-02
2.089296e+01	9.319226e-03	1.019777e-02	7.746420e-03	8.468856e-03	1.156363e-02
1.819701e+01	6.877711e-03	7.839674e-03	8.458769e-03	5.971727e-03	9.346113e-03
1.584893e+01	3.356436e-03	4.336390e-03	8.592244e-03	2.468058e-03	5.889464e-03
1.380384e+01	-1.019691e-03	-1.066161e-04	7.981290e-03	-1.805642e-03	1.364361e-03
1.202264e+01	-5.886082e-03	-5.136805e-03	6.526053e-03	-6.481381e-03	-3.900780e-03
1.047129e+01	-1.074312e-02	-1.025365e-02	4.243655e-03	-1.106768e-02	-9.408888e-03
9.120108e+00	-1.499649e-02	-1.484839e-02	1.327865e-03	-1.499881e-02	-1.453246e-02
7.943282e+00	-1.802198e-02	-1.827166e-02	2.348084e-03	-1.858567e-02	-1.765075e-02
6.918310e+00	-1.923325e-02	-1.990439e-02	5.990521e-03	-2.089979e-02	-1.849762e-02
6.025596e+00	-1.813695e-02	-1.921417e-02	9.520770e-03	-2.088098e-02	-1.707285e-02
5.248075e+00	-1.437422e-02	-1.579704e-02	1.252050e-02	-1.805159e-02	-1.305527e-02
4.570882e+00	-7.756804e-03	-9.415386e-03	1.455748e-02	-1.209054e-02	-6.293813e-03
3.981072e+00	1.696258e-03	-3.994556e-05	1.521147e-02	-2.884030e-03	3.159938e-03
3.467369e+00	1.372385e-02	1.210684e-02	1.414724e-02	9.416089e-03	1.502295e-02
3.019952e+00	2.779918e-02	2.651695e-02	1.120382e-02	2.434029e-02	2.876373e-02
2.630268e+00	4.312823e-02	4.238593e-02	6.480369e-03	4.107347e-02	4.360630e-02
2.290868e+00	5.868045e-02	5.863776e-02	7.037277e-04	5.846890e-02	5.871424e-02
1.995262e+00	7.325962e-02	7.399628e-02	6.527107e-03	7.250657e-02	7.511936e-02
1.737801e+00	8.561786e-02	8.710767e-02	1.309814e-02	8.427100e-02	8.949362e-02
1.513561e+00	9.460459e-02	9.670598e-02	1.843825e-02	9.279375e-02	1.001300e-01
1.318257e+00	9.932840e-02	1.017964e-01	2.163620e-02	9.725917e-02	1.058563e-01
1.148154e+00	9.929875e-02	1.018182e-01	2.207658e-02	9.722574e-02	1.059896e-01
1.000000e+00	9.451410e-02	9.674748e-02	1.956520e-02	9.270389e-02	1.004650e-01
8.709636e-01	8.547539e-02	8.711609e-02	1.437229e-02	8.416633e-02	8.986318e-02
7.585776e-01	7.312268e-02	7.394246e-02	7.184498e-03	7.248914e-02	7.533270e-02
6.606934e-01	5.871062e-02	5.859356e-02	1.031693e-03	5.842816e-02	5.883775e-02
5.754399e-01	4.364778e-02	4.260590e-02	9.116300e-03	4.090069e-02	4.452001e-02
5.011872e-01	2.932507e-02	2.749504e-02	1.601534e-02	2.447496e-02	3.082919e-02
4.365158e-01	1.695559e-02	1.457795e-02	2.081013e-02	1.064242e-02	1.889717e-02
3.801894e-01	7.443903e-03	4.828899e-03	2.289091e-02	4.944426e-04	9.574122e-03
3.311311e-01	1.299338e-03	-1.215461e-03	2.201876e-02	-5.386261e-03	3.348314e-03
2.884032e-01	-1.398405e-03	-3.492614e-03	1.834391e-02	-6.965569e-03	3.134433e-04
2.511886e-01	-9.808601e-04	-2.392164e-03	1.237415e-02	-4.729793e-03	1.843186e-04
2.187762e-01	1.873773e-03	1.316944e-03	4.903363e-03	4.008809e-04	2.354997e-03
1.905461e-01	6.241359e-03	6.598677e-03	3.094574e-03	5.990343e-03	7.203866e-03
1.659587e-01	1.107802e-02	1.228998e-02	1.056933e-02	1.014115e-02	1.431732e-02
1.445440e-01	1.535970e-02	1.725562e-02	1.655446e-02	1.387163e-02	2.042050e-02
1.258925e-01	1.821920e-02	2.054029e-02	2.027849e-02	1.638455e-02	2.441104e-02
1.096478e-01	1.906039e-02	2.149521e-02	2.128081e-02	1.712586e-02	2.555242e-02
9.549926e-02	1.763030e-02	1.985733e-02	1.947278e-02	1.585119e-02	2.356498e-02
8.317638e-02	1.403739e-02	1.576785e-02	1.514012e-02	1.264374e-02	1.864484e-02
7.244360e-02	8.716764e-03	9.731335e-03	8.889560e-03	7.884104e-03	1.141257e-02
6.309573e-02	2.353627e-03	2.528613e-03	1.559147e-03	2.181902e-03	2.808407e-03
5.495409e-02	-4.219480e-03	-4.898704e-03	5.909241e-03	-6.044452e-03	-3.716927e-03
4.786301e-02	-1.013749e-02	-1.157623e-02	1.254680e-02	-1.398966e-02	-9.034253e-03
4.168694e-02	-1.461761e-02	-1.662430e-02	1.751288e-02	-1.998622e-02	-1.306425e-02
3.630781e-02	-1.706238e-02	-1.937233e-02	2.016765e-02	-2.324132e-02	-1.526732e-02
3.162278e-02	-1.713854e-02	-1.944622e-02	2.015397e-02	-2.331222e-02	-1.534201e-02
2.754229e-02	-1.482147e-02	-1.681777e-02	1.743998e-02	-2.016375e-02	-1.326568e-02
2.398833e-02	-1.040096e-02	-1.181127e-02	1.232632e-02	-1.417655e-02	-9.299827e-03
2.089296e-02	-4.450734e-03	-5.070185e-03	5.421795e-03	-6.109480e-03	-3.962235e-03
1.819701e-02	2.232756e-03	2.509832e-03	2.407687e-03	2.028967e-03	2.976574e-03
1.584893e-02	8.717841e-03	9.877399e-03	1.011595e-02	7.835212e-03	1.182953e-02
1.380384e-02	1.404957e-02	1.595016e-02	1.659032e-02	1.259902e-02	1.915203e-02
1.202264e-02	1.738189e-02	1.976423e-02	2.080081e-02	1.556300e-02	2.378003e-02
1.047129e-02	1.811759e-02	2.063452e-02	2.197922e-02	1.619480e-02	2.487807e-02
9.120108e-03	1.603146e-02	1.829776e-02	1.979238e-02	1.429627e-02	2.211676e-02
7.943282e-03	1.134480e-02	1.300054e-02	1.446073e-02	1.006876e-02	1.578462e-02
6.918310e-03	4.722883e-03	5.498619e-03	6.775108e-03	4.109793e-03	6.791128e-03
6.025596e-03	-2.817010e-03	-3.047571e-03	2.019693e-03	-3.459098e-03	-2.669419e-03
5.248075e-03	-1.007624e-02	-1.126933e-02	1.042411e-02	-1.330696e-02	-9.196028e-03
4.570882e-03	-1.589180e-02	-1.784029e-02	1.702136e-02	-2.114758e-02	-1.442842e-02
3.981072e-03	-1.935245e-02	-2.172613e-02	2.073351e-02	-2.573790e-02	-1.754830e-02
3.467369e-03	-1.996325e-02	-2.237388e-02	2.105385e-02	-2.642878e-02	-1.810732e-02
3.019952e-03	-1.771807e-02	-1.979354e-02	1.812435e-02	-2.326191e-02	-1.609250e-02
2.630268e-03	-1.306332e-02	-1.451274e-02	1.265561e-02	-1.690800e-02	-1.189564e-02
2.290868e-03	-6.767538e-03	-7.421937e-03	5.715750e-03	-8.469133e-03	-6.199358e-03
1.995262e-03	2.613366e-04	4.398519e-04	1.592961e-03	1.838832e-04	7.906253e-04
1.737801e-03	7.157117e-03	8.095120e-03	8.201353e-03	6.472460e-03	9.705514e-03
1.513561e-03	1.322898e-02	1.477975e-02	1.354842e-02	1.203558e-02	1.739102e-02
1.318257e-03	1.802441e-02	2.001015e-02	1.734505e-02	1.645192e-02	2.331727e-02
1.148154e-03	2.132575e-02	2.357206e-02	1.962017e-02	1.951008e-02	2.728292e-02
1.000000e-03	2.310504e-02	2.546122e-02	2.058040e-02	2.117183e-02	2.933014e-02
