#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	3.655915e-03	1.231638e-03	1.227327e-02	-1.244354e-03	3.844030e-03
1.000000e+03	-9.009174e-03	-6.847624e-03	1.091995e-02	-9.178502e-03	-4.649431e-03
8.709636e+02	-8.008126e-03	-6.001754e-03	1.014597e-02	-8.164819e-03	-3.955845e-03
7.585776e+02	-6.536401e-03	-4.809820e-03	8.743207e-03	-6.670673e-03	-3.042476e-03
6.606934e+02	-4.596752e-03	-3.276513e-03	6.701123e-03	-4.698697e-03	-1.916419e-03
5.754399e+02	-2.242338e-03	-1.444084e-03	4.073831e-03	-2.302956e-03	-6.094688e-04
5.011872e+02	4.098671e-04	5.978346e-04	9.994738e-04	3.973687e-04	8.157027e-04
4.365158e+02	3.171029e-03	2.706381e-03	2.298444e-03	2.261975e-03	3.209765e-03
3.801894e+02	5.782772e-03	4.687270e-03	5.488439e-03	3.599167e-03	5.870758e-03
3.311311e+02	7.935016e-03	6.308041e-03	8.184627e-03	4.672809e-03	8.064120e-03
2.884032e+02	9.302846e-03	7.325348e-03	9.975508e-03	5.321945e-03	9.458507e-03
2.511886e+02	9.601852e-03	7.525899e-03	1.050157e-02	5.405723e-03	9.763954e-03
2.187762e+02	8.654961e-03	6.775945e-03	9.542178e-03	4.835533e-03	8.800084e-03
1.905461e+02	6.456368e-03	5.068794e-03	7.098403e-03	3.605965e-03	6.561333e-03
1.659587e+02	3.212759e-03	2.555810e-03	3.446298e-03	1.815328e-03	3.258964e-03
1.445440e+02	-6.576611e-04	-4.534665e-04	9.097796e-04	-6.800210e-04	-3.335172e-04
1.258925e+02	-4.579249e-03	-3.530210e-03	5.145855e-03	-4.668205e-03	-2.557230e-03
1.096478e+02	-7.921156e-03	-6.200811e-03	8.544811e-03	-8.062222e-03	-4.539238e-03
9.549926e+01	-1.012536e-02	-8.040804e-03	1.041596e-02	-1.029352e-02	-5.989661e-03
8.317638e+01	-1.082720e-02	-8.763967e-03	1.036060e-02	-1.099139e-02	-6.702994e-03
7.244360e+01	-9.936239e-03	-8.282974e-03	8.357647e-03	-1.006540e-02	-6.598271e-03
6.309573e+01	-7.657408e-03	-6.726702e-03	4.783950e-03	-7.726830e-03	-5.732117e-03
5.495409e+01	-4.448707e-03	-4.411239e-03	4.091151e-04	-4.457610e-03	-4.282537e-03
4.786301e+01	-9.255959e-04	-1.771723e-03	4.078542e-03	-2.507739e-03	-8.506774e-04
4.168694e+01	2.268979e-03	7.312103e-04	7.537410e-03	-6.885406e-04	2.399254e-03
3.630781e+01	4.604217e-03	2.712414e-03	9.322746e-03	9.343572e-04	4.762110e-03
3.162278e+01	5.782191e-03	3.949870e-03	9.050683e-03	2.215214e-03	5.933992e-03
2.754229e+01	5.810903e-03	4.438132e-03	6.784866e-03	3.137161e-03	5.924166e-03
2.398833e+01	5.007764e-03	4.391718e-03	3.036119e-03	3.815307e-03	5.058527e-03
2.089296e+01	3.926694e-03	4.193538e-03	1.345076e-03	3.904958e-03	4.465940e-03
1.819701e+01	3.222357e-03	4.298056e-03	5.358343e-03	3.134386e-03	5.347778e-03
1.584893e+01	3.484027e-03	5.112527e-03	8.096819e-03	3.350807e-03	6.689678e-03
1.380384e+01	5.082491e-03	6.887504e-03	8.959242e-03	4.934653e-03	8.623995e-03
1.202264e+01	8.071679e-03	9.646569e-03	7.792930e-03	7.942172e-03	1.114411e-02
1.047129e+01	1.217204e-02	1.317475e-02	4.919655e-03	1.208843e-02	1.409809e-02
9.120108e+00	1.683924e-02	1.706824e-02	1.051436e-03	1.681762e-02	1.721943e-02
7.943282e+00	2.139734e-02	2.083054e-02	2.962704e-03	2.019077e-02	2.143923e-02
6.918310e+00	2.519822e-02	2.398766e-02	6.189113e-03	2.270845e-02	2.529117e-02
