#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	3.614811e-01	3.006165e-02	5.000000e-02	5.000000e-01	-2.534336e+03	-2.236946e+03	-2.973901e+02
1	3.645172e-01	3.006165e-02	4.979134e-02	5.100000e-01	-2.534715e+03	-2.236935e+03	-2.977793e+02
2	3.745430e-01	3.006165e-02	4.912041e-02	5.000000e-01	-2.535942e+03	-2.236903e+03	-2.990395e+02
3	3.661416e-01	3.006165e-02	4.968077e-02	4.900000e-01	-2.534916e+03	-2.236930e+03	-2.979860e+02
4	3.668246e-01	3.006165e-02	4.963449e-02	4.900000e-01	-2.535000e+03	-2.236928e+03	-2.980726e+02
5	3.702500e-01	3.006165e-02	4.940436e-02	4.800000e-01	-2.535421e+03	-2.236916e+03	-2.985045e+02
6	3.756188e-01	3.027882e-02	4.940436e-02	4.700000e-01	-2.546384e+03	-2.247862e+03	-2.985217e+02
7	3.888860e-01	3.027882e-02	4.855431e-02	4.800000e-01	-2.547952e+03	-2.247821e+03	-3.001304e+02
8	3.886443e-01	3.027882e-02	4.856940e-02	4.800000e-01	-2.547923e+03	-2.247822e+03	-3.001016e+02
9	3.916487e-01	3.027882e-02	4.838275e-02	4.900000e-01	-2.548271e+03	-2.247813e+03	-3.004577e+02
10	3.922891e-01	3.027882e-02	4.834325e-02	5.000000e-01	-2.548344e+03	-2.247811e+03	-3.005332e+02
11	3.991338e-01	3.027882e-02	4.792693e-02	5.100000e-01	-2.549123e+03	-2.247791e+03	-3.013320e+02
12	3.994447e-01	3.027882e-02	4.790828e-02	5.200000e-01	-2.549158e+03	-2.247790e+03	-3.013679e+02
13	4.301937e-01	3.142263e-02	4.790828e-02	5.300000e-01	-2.601606e+03	-2.300157e+03	-3.014482e+02
14	4.297379e-01	3.140598e-02	4.790828e-02	5.400000e-01	-2.600902e+03	-2.299455e+03	-3.014471e+02
15	4.479105e-01	3.206315e-02	4.790828e-02	5.400000e-01	-2.627430e+03	-2.325942e+03	-3.014882e+02
16	4.481188e-01	3.206315e-02	4.789714e-02	5.500000e-01	-2.627451e+03	-2.325941e+03	-3.015096e+02
17	4.834806e-01	3.330421e-02	4.789714e-02	5.400000e-01	-2.671177e+03	-2.369598e+03	-3.015785e+02
18	4.720853e-01	3.330421e-02	4.847177e-02	5.300000e-01	-2.670098e+03	-2.369619e+03	-3.004794e+02
19	4.753944e-01	3.330421e-02	4.830278e-02	5.200000e-01	-2.670414e+03	-2.369613e+03	-3.008015e+02
20	4.681180e-01	3.330421e-02	4.867674e-02	5.100000e-01	-2.669716e+03	-2.369626e+03	-3.000898e+02
21	4.864668e-01	3.330421e-02	4.774991e-02	5.100000e-01	-2.671455e+03	-2.369593e+03	-3.018618e+02
22	4.933414e-01	3.330421e-02	4.741605e-02	5.200000e-01	-2.672088e+03	-2.369581e+03	-3.025068e+02
23	4.914072e-01	3.323886e-02	4.741605e-02	5.100000e-01	-2.669976e+03	-2.367473e+03	-3.025034e+02
24	5.082343e-01	3.323886e-02	4.662449e-02	5.100000e-01	-2.671492e+03	-2.367445e+03	-3.040469e+02
25	5.223646e-01	3.323886e-02	4.598956e-02	5.200000e-01	-2.672722e+03	-2.367422e+03	-3.052996e+02
26	5.356376e-01	3.365850e-02	4.598956e-02	5.300000e-01	-2.685935e+03	-2.380615e+03	-3.053199e+02
27	5.367980e-01	3.369494e-02	4.598956e-02	5.200000e-01	-2.687044e+03	-2.381722e+03	-3.053216e+02
28	5.507882e-01	3.413120e-02	4.598956e-02	5.200000e-01	-2.699874e+03	-2.394533e+03	-3.053416e+02
29	5.382154e-01	3.413120e-02	4.652362e-02	5.100000e-01	-2.698838e+03	-2.394550e+03	-3.042875e+02
30	5.447779e-01	3.413120e-02	4.624256e-02	5.200000e-01	-2.699382e+03	-2.394541e+03	-3.048411e+02
31	5.451470e-01	3.414276e-02	4.624256e-02	5.200000e-01	-2.699711e+03	-2.394869e+03	-3.048416e+02
32	5.545034e-01	3.443451e-02	4.624256e-02	5.200000e-01	-2.707826e+03	-2.402972e+03	-3.048544e+02
33	5.663720e-01	3.480108e-02	4.624256e-02	5.300000e-01	-2.717535e+03	-2.412665e+03	-3.048699e+02
