#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	3.731153e-01	3.054158e-02	5.000000e-02	4.900000e-01	-2.500989e+03	-2.218695e+03	-2.822944e+02
1	3.732661e-01	3.054158e-02	4.998990e-02	5.000000e-01	-2.501001e+03	-2.218692e+03	-2.823094e+02
2	3.991294e-01	3.158196e-02	4.998990e-02	5.100000e-01	-2.550005e+03	-2.267232e+03	-2.827730e+02
3	3.978998e-01	3.158196e-02	5.006707e-02	5.200000e-01	-2.549911e+03	-2.267253e+03	-2.826573e+02
4	4.034995e-01	3.158196e-02	4.971845e-02	5.300000e-01	-2.550339e+03	-2.267158e+03	-2.831805e+02
5	4.037611e-01	3.158196e-02	4.970234e-02	5.300000e-01	-2.550358e+03	-2.267154e+03	-2.832047e+02
6	4.128406e-01	3.158196e-02	4.915276e-02	5.300000e-01	-2.551034e+03	-2.267001e+03	-2.840330e+02
7	4.200530e-01	3.158196e-02	4.872895e-02	5.400000e-01	-2.551556e+03	-2.266881e+03	-2.846745e+02
8	4.226429e-01	3.167918e-02	4.872895e-02	5.400000e-01	-2.555783e+03	-2.271065e+03	-2.847171e+02
9	4.250263e-01	3.167918e-02	4.859213e-02	5.400000e-01	-2.555951e+03	-2.271026e+03	-2.849248e+02
10	4.273925e-01	3.167918e-02	4.845744e-02	5.400000e-01	-2.556117e+03	-2.270988e+03	-2.851296e+02
11	4.409207e-01	3.217664e-02	4.845744e-02	5.400000e-01	-2.576868e+03	-2.291524e+03	-2.853443e+02
12	4.364094e-01	3.217664e-02	4.870725e-02	5.300000e-01	-2.576558e+03	-2.291594e+03	-2.849638e+02
13	4.446553e-01	3.217664e-02	4.825351e-02	5.400000e-01	-2.577122e+03	-2.291466e+03	-2.856554e+02
14	4.530817e-01	3.217664e-02	4.780270e-02	5.300000e-01	-2.577683e+03	-2.291337e+03	-2.863452e+02
15	4.671117e-01	3.217664e-02	4.707933e-02	5.300000e-01	-2.578583e+03	-2.291126e+03	-2.874573e+02
16	4.568333e-01	3.217664e-02	4.760601e-02	5.400000e-01	-2.577927e+03	-2.291280e+03	-2.866470e+02
17	4.524764e-01	3.217664e-02	4.783466e-02	5.300000e-01	-2.577643e+03	-2.291347e+03	-2.862962e+02
18	4.420054e-01	3.217664e-02	4.839794e-02	5.300000e-01	-2.576942e+03	-2.291507e+03	-2.854350e+02
19	4.472223e-01	3.217664e-02	4.811483e-02	5.300000e-01	-2.577294e+03	-2.291427e+03	-2.858674e+02
20	4.547741e-01	3.244717e-02	4.811483e-02	5.200000e-01	-2.587986e+03	-2.302005e+03	-2.859818e+02
21	4.663391e-01	3.285715e-02	4.811483e-02	5.300000e-01	-2.603432e+03	-2.317281e+03	-2.861512e+02
22	4.761988e-01	3.285715e-02	4.761411e-02	5.300000e-01	-2.604061e+03	-2.317141e+03	-2.869207e+02
23	4.698377e-01	3.285715e-02	4.793535e-02	5.400000e-01	-2.603658e+03	-2.317231e+03	-2.864266e+02
24	4.847574e-01	3.337476e-02	4.793535e-02	5.300000e-01	-2.621925e+03	-2.335290e+03	-2.866345e+02
