#timescale(s)	amplitude
inf	9.166172e-02
1.000000e+00	2.546923e-02
8.128305e-01	1.776789e-02
6.606934e-01	1.063862e-02
5.370318e-01	4.564414e-03
4.365158e-01	-2.074835e-05
3.548134e-01	-2.852042e-03
2.884032e-01	-3.954914e-03
2.344229e-01	-3.713079e-03
1.905461e-01	-2.823881e-03
1.548817e-01	-2.114304e-03
1.258925e-01	-2.261533e-03
1.023293e-01	-3.532913e-03
8.317638e-02	-5.673625e-03
6.760830e-02	-8.001048e-03
5.495409e-02	-9.654443e-03
4.466836e-02	-9.873792e-03
3.630781e-02	-8.188792e-03
2.951209e-02	-4.473901e-03
2.398833e-02	1.091606e-03
1.949845e-02	8.089876e-03
1.584893e-02	1.592118e-02
1.288250e-02	2.386058e-02
1.047129e-02	3.113665e-02
8.511380e-03	3.703254e-02
6.918310e-03	4.097726e-02
5.623413e-03	4.259153e-02
4.570882e-03	4.169462e-02
3.715352e-03	3.831726e-02
3.019952e-03	3.274341e-02
2.454709e-03	2.553906e-02
1.995262e-03	1.750353e-02
1.621810e-03	9.533005e-03
1.318257e-03	2.458532e-03
1.071519e-03	-3.068385e-03
8.709636e-04	-6.615276e-03
7.079458e-04	-7.953106e-03
5.754399e-04	-7.025995e-03
4.677351e-04	-3.939107e-03
3.801894e-04	1.030146e-03
3.090295e-04	7.415854e-03
2.511886e-04	1.456174e-02
2.041738e-04	2.164774e-02
1.659587e-04	2.776617e-02
1.348963e-04	3.206567e-02
1.096478e-04	3.393677e-02
8.912509e-05	3.316024e-02
7.244360e-05	2.994957e-02
5.888437e-05	2.488430e-02
4.786301e-05	1.877402e-02
3.890451e-05	1.248226e-02
3.162278e-05	6.734746e-03
2.570396e-05	1.970713e-03
2.089296e-05	-1.686294e-03
1.698244e-05	-4.323043e-03
1.380384e-05	-6.076314e-03
1.122018e-05	-7.021129e-03
9.120108e-06	-7.144802e-03
7.413102e-06	-6.375346e-03
6.025596e-06	-4.626397e-03
4.897788e-06	-1.848288e-03
3.981072e-06	1.918002e-03
3.235937e-06	6.502839e-03
2.630268e-06	1.160786e-02
2.137962e-06	1.684310e-02
1.737801e-06	2.177670e-02
1.412538e-06	2.597595e-02
1.148154e-06	2.904123e-02
9.332543e-07	3.064279e-02
7.585776e-07	3.055679e-02
6.165950e-07	2.869007e-02
5.011872e-07	2.510033e-02
4.073803e-07	2.003198e-02
3.311311e-07	1.396113e-02
2.691535e-07	7.597874e-03
2.187762e-07	1.789466e-03
1.778279e-07	-2.673557e-03
1.445440e-07	-5.275243e-03
1.174898e-07	-5.917106e-03
9.549926e-08	-4.920068e-03
7.762471e-08	-2.886763e-03
6.309573e-08	-4.916484e-04
5.128614e-08	1.701903e-03
4.168694e-08	3.323677e-03
3.388442e-08	4.175652e-03
2.754229e-08	4.170923e-03
2.238721e-08	3.300267e-03
1.819701e-08	1.644660e-03
1.479108e-08	-5.927171e-04
1.202264e-08	-3.067989e-03
9.772372e-09	-5.317147e-03
7.943282e-09	-6.836863e-03
6.456542e-09	-7.219716e-03
5.248075e-09	-6.287661e-03
4.265795e-09	-4.149988e-03
3.467369e-09	-1.158226e-03
2.818383e-09	2.205039e-03
2.290868e-09	5.443009e-03
1.862087e-09	8.130245e-03
1.513561e-09	9.964075e-03
1.230269e-09	1.079187e-02
