#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
51	3.686964e-01	2.640197e-02	4.348124e-02	4.100000e-01	-1.477908e+03	-1.185828e+03	-2.920809e+02
52	3.566844e-01	2.596833e-02	4.348124e-02	4.200000e-01	-1.479958e+03	-1.187982e+03	-2.919759e+02
53	3.701747e-01	2.596833e-02	4.268159e-02	4.100000e-01	-1.480900e+03	-1.187862e+03	-2.930385e+02
54	3.750147e-01	2.613754e-02	4.268159e-02	4.200000e-01	-1.480113e+03	-1.187032e+03	-2.930812e+02
55	3.629049e-01	2.571207e-02	4.268159e-02	4.300000e-01	-1.482064e+03	-1.189091e+03	-2.929733e+02
56	3.663748e-01	2.571207e-02	4.247899e-02	4.300000e-01	-1.482301e+03	-1.189060e+03	-2.932409e+02
57	3.595414e-01	2.571207e-02	4.288077e-02	4.200000e-01	-1.481831e+03	-1.189122e+03	-2.927098e+02
58	3.605723e-01	2.574891e-02	4.288077e-02	4.100000e-01	-1.481666e+03	-1.188947e+03	-2.927191e+02
59	3.578509e-01	2.565155e-02	4.288077e-02	4.000000e-01	-1.482101e+03	-1.189407e+03	-2.926944e+02
60	3.658074e-01	2.593515e-02	4.288077e-02	3.900000e-01	-1.480819e+03	-1.188053e+03	-2.927661e+02
61	3.460705e-01	2.522580e-02	4.288077e-02	3.800000e-01	-1.483942e+03	-1.191357e+03	-2.925850e+02
62	3.418691e-01	2.522580e-02	4.314346e-02	3.700000e-01	-1.483635e+03	-1.191397e+03	-2.922382e+02
63	3.263411e-01	2.464625e-02	4.314346e-02	3.600000e-01	-1.485964e+03	-1.193876e+03	-2.920874e+02
64	3.243103e-01	2.456945e-02	4.314346e-02	3.500000e-01	-1.486256e+03	-1.194189e+03	-2.920670e+02
65	3.244026e-01	2.456945e-02	4.313733e-02	3.400000e-01	-1.486263e+03	-1.194188e+03	-2.920751e+02
66	3.251855e-01	2.456945e-02	4.308537e-02	3.500000e-01	-1.486323e+03	-1.194180e+03	-2.921434e+02
67	3.263229e-01	2.456945e-02	4.301021e-02	3.600000e-01	-1.486411e+03	-1.194168e+03	-2.922421e+02
68	3.242788e-01	2.456945e-02	4.314555e-02	3.700000e-01	-1.486253e+03	-1.194189e+03	-2.920643e+02
69	3.296488e-01	2.456945e-02	4.279269e-02	3.600000e-01	-1.486663e+03	-1.194135e+03	-2.925274e+02
70	3.132495e-01	2.395051e-02	4.279269e-02	3.700000e-01	-1.488854e+03	-1.196495e+03	-2.923584e+02
