#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
9.120108e-06	8.058337e-02	8.082087e-02	1.109909e-03	8.058215e-02	8.100276e-02
7.585776e-06	9.844574e-02	9.818506e-02	1.277301e-03	9.795556e-02	9.844688e-02
6.309573e-06	1.117168e-01	1.109805e-01	3.550671e-03	1.103599e-01	1.117202e-01
5.248075e-06	1.179913e-01	1.169314e-01	5.096602e-03	1.160452e-01	1.179963e-01
4.365158e-06	1.162440e-01	1.150839e-01	5.574270e-03	1.141160e-01	1.162495e-01
3.630781e-06	1.070138e-01	1.059734e-01	4.999838e-03	1.051049e-01	1.070186e-01
3.019952e-06	9.202716e-02	9.126702e-02	3.655749e-03	9.063116e-02	9.203071e-02
2.511886e-06	7.353247e-02	7.313523e-02	1.913636e-03	7.280136e-02	7.353432e-02
2.089296e-06	5.369390e-02	5.367748e-02	8.400764e-05	5.366143e-02	5.369396e-02
1.737801e-06	3.427179e-02	3.461385e-02	1.639809e-03	3.427018e-02	3.489736e-02
1.445440e-06	1.659561e-02	1.725010e-02	3.141305e-03	1.659253e-02	1.779441e-02
1.202264e-06	1.675567e-03	2.574963e-03	4.316960e-03	1.671337e-03	3.323063e-03
1.000000e-06	-9.717959e-03	-8.668307e-03	5.037430e-03	-9.722899e-03	-7.795586e-03
8.317638e-07	-1.708465e-02	-1.600810e-02	5.166947e-03	-1.708972e-02	-1.511279e-02
6.918310e-07	-2.030564e-02	-1.934322e-02	4.622839e-03	-2.031016e-02	-1.854099e-02
5.754399e-07	-1.975106e-02	-1.903692e-02	3.439325e-03	-1.975438e-02	-1.843715e-02
4.786301e-07	-1.629369e-02	-1.592399e-02	1.798153e-03	-1.629535e-02	-1.560487e-02
3.981072e-07	-1.117379e-02	-1.118119e-02	6.175657e-05	-1.118804e-02	-1.116593e-02
3.311311e-07	-5.728909e-03	-6.073993e-03	1.611870e-03	-6.337830e-03	-5.727127e-03
2.754229e-07	-1.079124e-03	-1.663447e-03	2.754456e-03	-2.123700e-03	-1.076197e-03
2.290868e-07	2.106950e-03	1.411202e-03	3.290474e-03	8.575169e-04	2.110396e-03
1.905461e-07	3.677614e-03	2.993391e-03	3.242505e-03	2.445468e-03	3.680980e-03
1.584893e-07	3.894091e-03	3.313017e-03	2.758941e-03	2.844974e-03	3.896931e-03
1.318257e-07	3.232283e-03	2.802789e-03	2.044559e-03	2.454105e-03	3.234363e-03
1.096478e-07	2.186508e-03	1.916254e-03	1.292797e-03	1.693657e-03	2.187795e-03
9.120108e-08	1.138588e-03	1.006116e-03	6.419974e-04	8.928992e-04	1.139190e-03
7.585776e-08	3.065118e-04	2.760638e-04	1.614396e-04	2.439529e-04	3.066080e-04
6.309573e-08	-2.438451e-04	-2.091927e-04	1.513226e-04	-2.440716e-04	-1.895121e-04
5.248075e-08	-5.495442e-04	-4.793853e-04	3.179110e-04	-5.499465e-04	-4.314460e-04
4.365158e-08	-6.907479e-04	-6.043289e-04	3.945835e-04	-6.912307e-04	-5.434460e-04
3.630781e-08	-7.438358e-04	-6.513253e-04	4.233300e-04	-7.443488e-04	-5.855930e-04
3.019952e-08	-7.595769e-04	-6.652624e-04	4.318448e-04	-7.600988e-04	-5.980940e-04
2.511886e-08	-7.631077e-04	-6.683887e-04	4.337541e-04	-7.636317e-04	-6.008983e-04
2.089296e-08	-7.636765e-04	-6.688923e-04	4.340617e-04	-7.642007e-04	-6.013500e-04
1.737801e-08	-7.637383e-04	-6.689470e-04	4.340951e-04	-7.642625e-04	-6.013991e-04
1.445440e-08	-7.637425e-04	-6.689507e-04	4.340973e-04	-7.642667e-04	-6.014024e-04
1.202264e-08	-7.637426e-04	-6.689509e-04	4.340974e-04	-7.642669e-04	-6.014025e-04
